,names,rating,cuisine types,price,location,url
434,It's Mirchi - Ramee Guestline Hotels,3.6,"Continental, Mughlai","₹1,900 for two"," Ramee Guestline Hotels, Bangalore",https://www.zomato.com/bangalore/its-mirchi-ramee-guestline-hotels-bommasandra/info
435,The Aqua Bar - Golden Palms Hotel & Spa,3.8,Italian,"₹1,400 for two"," Golden Palms Hotel & Spa, Bangalore",https://www.zomato.com/bangalore/the-aqua-bar-golden-palms-hotel-spa-yeshwantpur/info
436,Kartik,3.9,"Chinese, North Indian, Beverages",₹850 for two," Banaswadi, Bangalore",https://www.zomato.com/bangalore/kartik-banaswadi/info
437,Peppermill,3.5,"South Indian, North Indian, Continental, Chinese","₹1,200 for two"," Seshadripuram, Bangalore",https://www.zomato.com/bangalore/peppermill-seshadripuram/info
438,Pelican,3.6,"North Indian, Chinese, Beverages, Desserts, Maharashtrian, Goan, Shake, Sichuan","₹1,600 for two"," Kadubeesanahalli, Bangalore",https://www.zomato.com/bangalore/pelican-kadubeesanahalli-bangalore/info
439,Taranga,3.9,"Andhra, North Indian, Chinese, Mughlai, Desserts, Shake",₹950 for two," Rajarajeshwari Nagar, Bangalore",https://www.zomato.com/bangalore/taranga-rajarajeshwari-nagar/info
440,Hideout Lounge Bar,3.9,Finger Food,"₹2,000 for two"," Golden Tulip Hotel, Electronic City, Bangalore",https://www.zomato.com/bangalore/hideout-lounge-bar-electronic-city-bangalore/info
441,K27 - The Pub,3.7,"Chinese, North Indian, Seafood, Beverages","₹1,200 for two"," Banashankari, Bangalore",https://www.zomato.com/bangalore/k27-the-pub-banashankari-bangalore/info
442,Manhattan,3.9,Finger Food,"₹2,000 for two"," Hotel Southern Star, Lavelle Road, Bangalore",https://www.zomato.com/bangalore/manhattan-1-lavelle-road/info
443,Hi-Fuel Pub,3.7,"Finger Food, Andhra, North Indian","₹1,600 for two"," Kumaraswamy Layout, Bangalore",https://www.zomato.com/bangalore/hi-fuel-pub-kumaraswamy-layout-bangalore/info
444,Davis Bar And Restaurant,3.8,"North Indian, Finger Food, Chinese",₹600 for two," Kammanahalli, Bangalore",https://www.zomato.com/bangalore/davis-bar-and-restaurant-kammanahalli/info
445,Samrat Regency Bar And Restaurant,4.0,"North Indian, Chinese, Seafood",₹950 for two," Koramangala 6th Block, Bangalore",https://www.zomato.com/bangalore/samrat-regency-bar-and-restaurant-koramangala-6th-block/info
446,Engine,3.9,"North Indian, South Indian, Fast Food, Chinese, Beverages","₹1,100 for two"," Ulsoor, Bangalore",https://www.zomato.com/bangalore/engine-ulsoor/info
447,Invitation Bar & Restaurant,3.8,"North Indian, South Indian, Chinese, Beverages","₹1,200 for two"," BTM, Bangalore",https://www.zomato.com/bangalore/invitation-bar-restaurant-btm/info
448,Talk Of The Town,3.8,"Chinese, North Indian, Mughlai","₹1,400 for two"," Majestic, Bangalore",https://www.zomato.com/bangalore/talk-of-the-town-1-majestic-bangalore/info
449,Page 3 Multicuisine Restaurant & Bar,3.8,"North Indian, Chinese, Finger Food",₹950 for two," Residency Road, Bangalore",https://www.zomato.com/bangalore/page-3-multicuisine-restaurant-bar-residency-road/info
450,Guru Greens,4.1,"North Indian, Chinese, Seafood","₹1,200 for two"," Bannerghatta Road, Bangalore",https://www.zomato.com/bangalore/guru-greens-bannerghatta-road/info
